mRNA	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
Chili_GLEAN_133517	59.88446822	59.78220631	67.04721329	25.98693962	28.67287684	72.76847876	83.63160644	80.01769762	96.08768076	33.75028566	26.30214524	45.99361156	41.50841587	61.81872863	45.84202156	53.66039599	91.65718784
Chili_GLEAN_115796	0	4.78804856	0	2.134809216	5.252716127	66.6794372	50.84789297	11.03710302	13.80591874	1.731459298	0.582991313	0.526842881	0	0	3.425694546	0.892111035	4.88782207
Chili_GLEAN_108299	58.66441114	49.42457399	47.49367047	48.8656808	53.37561406	64.48132442	60.83974676	100.0099455	68.40719708	55.63866339	39.41802319	46.07312415	55.6380453	121.1479471	47.50077892	123.868672	66.35916985
Chili_GLEAN_106087	42.35793084	48.82699719	51.20821733	17.78869074	26.41236498	60.85885119	59.56805504	57.17869938	53.13227285	42.38553391	40.67040063	35.95092082	42.79892502	50.91857201	63.39803582	44.22068644	51.84089849
Chili_GLEAN_112704	74.4461731	104.4092804	67.94082818	586.0492337	516.0279535	56.4930327	85.74667597	98.58463074	137.9444401	36.81169769	57.19850828	94.74016415	177.4894078	69.11825844	91.28665968	313.5697525	376.3845532
Chili_GLEAN_128582	2.854926645	62.81626565	8.353610038	21.53432201	10.85242752	56.27160175	69.42120339	41.76860946	49.88876553	115.6779712	77.75279793	21.2855674	20.03779557	13.57979441	43.86209581	25.08487919	29.6646874
Chili_GLEAN_103543	48.18236555	97.13771709	84.05820101	25.353579	28.10271415	55.64412838	107.6754105	115.5130069	100.5701641	52.29112337	62.40594187	78.37628559	45.90112364	56.52624376	133.6333246	111.6893576	180.6343868
Chili_GLEAN_106537	1.053307179	16.75610615	2.75678133	6.971689325	7.579012508	53.66445473	61.60734594	44.53567885	70.53913013	13.7322634	9.478634629	4.781957029	5.969185047	2.442550341	34.07483239	18.90132789	28.10497691
Chili_GLEAN_123025	3.68005112	33.96037124	12.86292607	7.422373152	21.53270667	51.13664312	37.53625438	24.61487799	37.08347057	16.14554704	31.46198931	9.326852241	26.09566577	11.79966422	21.2016682	54.95631809	40.26093722
Chili_GLEAN_125419	44.34518733	55.23922976	54.8938554	12.0782254	13.97971766	50.85398569	64.55242182	63.50898945	65.80599904	28.81047745	26.78891849	48.98793589	24.7441746	22.10763357	39.36037544	94.73960213	76.47591239
Chili_GLEAN_135123	26.6961487	76.52998629	29.30702825	29.83328322	16.95096435	50.36680104	48.24100965	89.59751762	67.13886518	26.57304713	32.1811205	51.46906681	20.72963519	41.9786989	49.20280268	53.3556607	53.55112188
Chili_GLEAN_107904	40.5356685	36.57272935	37.04502904	22.14563669	24.8489325	49.25142987	42.65866193	28.03107854	30.54231265	29.95635949	28.04390177	26.26832926	34.57177624	25.16293515	54.65024486	25.83266292	43.28993161
Chili_GLEAN_131786	17.91946514	29.92414323	20.70605541	15.11793051	16.59210921	48.26419721	47.03654493	52.26287095	52.99959291	18.4182834	13.03188078	20.04556305	18.03995879	24.84234046	38.48326006	33.37520591	48.74938601
Chili_GLEAN_110128	1.931757039	47.78155898	1.268575078	15.94516713	41.57402165	48.10361429	57.02154985	135.0547528	85.24247481	9.685542096	3.812088654	4.005747523	2.180009337	5.534734657	45.25597299	18.21718118	91.14863323
Chili_GLEAN_107199	33.08517215	55.96834945	32.37551264	32.90878805	35.48823012	45.72425485	42.88265701	54.83950835	49.21905586	39.04367547	38.72879436	45.78844947	55.98529268	52.89084346	35.24560189	57.5923786	54.64322995
Chili_GLEAN_114334	47.29130208	33.87544356	43.37975213	21.41088066	17.65672047	42.85597686	49.80083211	48.60197996	42.59715631	29.99134856	21.10428554	35.88385399	26.16307401	51.86557735	23.76575591	30.20433075	23.86028932
Chili_GLEAN_128018	55.90771321	27.911021	31.53757841	29.00222759	20.11700804	41.64070202	28.98192247	27.47902576	27.99556116	21.26539075	15.23979499	30.82737347	53.21102099	46.80814654	37.67476485	17.87034637	45.90649585
Chili_GLEAN_138639	14.52890761	25.93910886	10.32564072	2.99266664	5.822287755	41.24687129	38.51733215	27.54415479	25.37674474	17.95830246	13.63497274	29.26340671	7.945214751	18.15459651	32.11760609	16.45722215	22.95447702
Chili_GLEAN_120279	50.66064818	14.14852495	40.49218839	17.2913725	45.57578891	40.86579889	70.57259533	18.32549788	41.17011436	9.343655476	5.399040083	19.33075306	192.5223753	67.63555713	60.61513164	74.54233359	51.80171414
Chili_GLEAN_127459	41.94290322	40.01777325	47.7416846	50.69138292	36.72519968	40.38891846	47.64610168	44.39864599	46.85836621	35.91997936	31.02590079	33.10842768	27.2912015	36.49682633	35.03167946	38.13294307	38.04981489
Chili_GLEAN_132920	25.75676052	25.47338562	22.48196944	13.12850587	18.02556764	39.30735056	36.12359964	34.36894812	29.49551392	18.87740365	17.71586936	21.16122673	14.40471447	24.84717418	24.3071483	39.23100114	30.42091067
Chili_GLEAN_120858	0	0.650345178	0.0503601	3.593282394	5.272150329	38.98487772	27.73268476	13.88671561	13.1673274	0.716734558	0.25339465	0.296838858	0.173084731	0	10.18492256	4.662258569	11.64731741
Chili_GLEAN_116703	0	5.051361712	0.063089842	2.108331202	5.915616658	37.58240228	13.30322453	15.6396564	15.48831967	0.869847088	0.687800356	0.265622935	1.084180558	0.73049258	0.874375797	155.0114031	0.612841342
Chili_GLEAN_131872	19.06394802	15.75969944	17.80168922	51.36951654	32.25827701	36.46522746	22.9757687	12.2140155	15.58648042	21.26247173	14.1775323	8.909062982	8.994724883	12.2307295	8.677926446	18.52378349	21.44044305
Chili_GLEAN_119887	83.73547318	33.48222081	71.46205832	24.75269079	28.71037857	35.62505476	48.73682802	41.41148159	53.18357811	26.54003374	31.69700229	31.46874658	34.87842333	53.84053959	52.09062847	44.67154435	65.71765071
Chili_GLEAN_140859	7.134810671	36.06530592	17.24202388	9.388638554	20.00260416	35.37534676	34.86381474	35.94639707	35.71791323	25.41399487	17.90450013	15.5144475	13.42438434	13.47427682	46.84005219	85.81134493	42.0368972
